Filename;Annotation tag;Upper left corner X;Upper left corner Y;Lower right corner X;Lower right corner Y;Origin file;Origin frame number;Origin track;Origin track frame number
2014-05-01_17-03/2/frameAnnotations-2.avi_annotations/stop_1404948446.avi_image5.png;stop;175;375;238;446;training/2014-05-01_17-03/2/2.avi;1684;stop_1404948446.avi;26
2014-07-11_13-25/frameAnnotations-cam1.avi_annotations/stop_1405371717.avi_image11.png;stop;826;350;897;422;training/2014-07-11_13-25/cam1.avi;5091;stop_1405371717.avi;56
2014-07-11_12-12/1/frameAnnotations-1.avi_annotations/stop_1405118003.avi_image2.png;stop;977;389;1025;442;training/2014-07-11_12-12/1/1.avi;1569;stop_1405118003.avi;11
2014-04-24_10-59/frameAnnotations-cam1.avi_annotations/stop_1398812846.avi_image14.png;stop;1067;256;1173;395;training/2014-04-24_10-59/cam1.avi;11583;stop_1398812846.avi;71
2014-04-24_10-59/frameAnnotations-cam1.avi_annotations/stop_1398812679.avi_image8.png;stop;782;397;824;439;training/2014-04-24_10-59/cam1.avi;8289;stop_1398812679.avi;41
2014-05-01_17-03/1/frameAnnotations-1.avi_annotations/stop_1404947715.avi_image3.png;stop;812;362;874;431;training/2014-05-01_17-03/1/1.avi;4917;stop_1404947715.avi;16
2014-04-24_11-43/frameAnnotations-cam1.avi_annotations/stop_1398984910.avi_image5.png;stop;954;401;1015;462;training/2014-04-24_11-43/cam1.avi;11346;stop_1398984910.avi;26
2014-04-24_10-59/frameAnnotations-cam1.avi_annotations/stop_1398812048.avi_image3.png;stop;784;394;822;434;training/2014-04-24_10-59/cam1.avi;2806;stop_1398812048.avi;16
2014-04-24_11-43/frameAnnotations-cam1.avi_annotations/stop_1398984716.avi_image2.png;stop;795;428;828;459;training/2014-04-24_11-43/cam1.avi;8655;stop_1398984716.avi;11
2014-07-10_12-00/1/frameAnnotations-1.avi_annotations/stop_1405043905.avi_image6.png;stop;972;313;1056;400;training/2014-07-10_12-00/1/1.avi;9394;stop_1405043905.avi;31
2014-05-01_10-40/frameAnnotations-cam1.avi_annotations/stop_1398987785.avi_image6.png;stop;1029;369;1092;438;training/2014-05-01_10-40/cam1.avi;6012;stop_1398987785.avi;31
2014-05-01_10-40/frameAnnotations-cam1.avi_annotations/stop_1398987944.avi_image3.png;stop;873;405;932;464;training/2014-05-01_10-40/cam1.avi;7348;stop_1398987944.avi;16
2014-05-01_11-00/frameAnnotations-cam1.avi_annotations/stop_1398991000.avi_image1.png;stop;550;450;586;493;training/2014-05-01_11-00/cam1.avi;4414;stop_1398991000.avi;6
2014-04-24_10-59/frameAnnotations-cam1.avi_annotations/stop_1398812862.avi_image5.png;stop;897;386;919;432;training/2014-04-24_10-59/cam1.avi;11973;stop_1398812862.avi;26
2014-05-01_16-29/2/frameAnnotations-2.avi_annotations/stop_1404942178.avi_image2.png;stop;897;440;942;488;training/2014-05-01_16-29/2/2.avi;7083;stop_1404942178.avi;11
2014-05-01_16-29/2/frameAnnotations-2.avi_annotations/stop_1404941953.avi_image1.png;stop;354;427;399;474;training/2014-05-01_16-29/2/2.avi;2952;stop_1404941953.avi;6
2014-05-01_17-03/2/frameAnnotations-2.avi_annotations/stop_1404948342.avi_image5.png;stop;146;419;211;487;training/2014-05-01_17-03/2/2.avi;1112;stop_1404948342.avi;26
2014-05-01_11-00/frameAnnotations-cam1.avi_annotations/stop_1398991154.avi_image5.png;stop;875;422;944;497;training/2014-05-01_11-00/cam1.avi;6941;stop_1398991154.avi;26
2014-05-01_10-40/frameAnnotations-cam1.avi_annotations/stop_1398988445.avi_image7.png;stop;990;360;1076;454;training/2014-05-01_10-40/cam1.avi;11657;stop_1398988445.avi;36
